host ID,age_month,Age_class,ad_worms
1,2.25,2,0
2,2.5,2,0
3,2.75,2,0
35,2.5,2,0
57,2,2,0
58,2.25,2,0
147,2.5,2,0
150,2.5,2,0
151,2.5,2,0
155,2,2,0
164,2.25,2,0
182,2.5,2,0
183,2.25,2,0
134,2.5,2,1
148,2.5,2,5
178,2.5,2,14
7,2.5,2,17
69,3.25,3,0
125,3,3,0
162,3,3,0
65,3.75,3,1
126,3,3,1
156,3,3,1
40,3,3,3
160,3.5,3,3
163,3.5,3,7
143,3,3,9
37,3,3,10
169,3.5,3,10
4,3,3,11
135,3,3,11
158,3.5,3,11
82,3.5,3,13
152,3.5,3,15
157,3.25,3,15
138,3.5,3,18
159,3,3,22
67,3.75,3,26
12,3,3,33
5,3.25,3,44
180,3.75,3,67
8,3.75,3,84
36,3.5,3,102
9,4,4,1
181,4,4,1
173,4.5,4,3
39,4,4,5
165,4,4,5
10,4.5,4,7
44,4,4,7
93,4,4,7
121,4,4,8
168,4,4,8
132,4,4,9
146,4,4,9
176,4.5,4,10
128,4,4,11
94,4,4,12
139,4,4,12
61,4,4,13
145,4,4,13
62,4,4,16
127,4,4,17
46,4,4,18
80,4,4,18
140,4,4,18
38,4,4,19
48,4,4,19
50,4,4,20
71,4,4,23
144,4,4,23
51,4,4,26
53,4,4,28
59,4,4,28
136,4,4,33
114,4,4,44
68,4,4,66
171,4,4,92
60,4,4,94
70,4,4,100
73,5,5,1
184,5,5,1
186,5.5,5,2
130,5,5,4
189,5,5,4
56,5,5,5
77,5,5,5
63,5,5,6
122,6,5,6
83,5,5,7
112,5,5,7
18,5,5,8
118,5,5,8
24,6,5,9
81,5,5,10
45,5,5,12
187,5,5,12
49,5,5,17
107,5,5,19
115,5,5,21
75,5,5,29
97,6,5,31
79,5,5,48
96,5,5,48
78,5,5,73
84,6,5,74
110,5,5,74
25,11,7,0
29,8,7,0
32,7,7,0
54,11,7,0
193,7,7,0
33,9,7,1
133,11,7,1
106,9,7,4
30,7,7,5
120,7,7,5
123,7,7,7
23,9,7,8
22,9,7,9
16,9,7,20
19,9,7,21
28,9,7,22
124,9,7,26
109,7,7,31
108,9,7,32
74,7,7,36
14,7,7,45
20,7,7,46
13,24,12,0
34,22,12,0
42,19,12,0
66,19,12,0
88,22,12,0
95,24,12,0
117,25,12,0
175,14,12,0
185,22,12,0
41,22,12,1
52,22,12,1
167,22,12,1
55,18,12,2
76,22,12,3
86,13,12,3
113,22,12,3
21,13,12,4
99,25,12,7
103,17,12,7
179,22,12,10
15,15,12,12
100,22,12,17
47,22,12,20
89,25,12,35
17,22,12,119
91,22,12,125
72,27,26,0
104,28,26,0
119,28,26,0
129,43.5,26,0
149,27,26,0
102,28,26,1
172,42,26,1
177,34,26,1
64,34,26,3
141,27,26,3
131,32,26,4
43,42,26,5
85,27,26,7
161,38.5,26,7
92,27,26,8
26,34,26,12
170,35,26,13
194,27,26,18
6,29,26,24
153,41.5,26,24
166,38,26,39
11,55,48,0
137,51.5,48,0
87,72,48,2
142,51.5,48,2
174,51.5,48,2
31,51.5,48,3
154,51,48,3
98,72,48,5
116,51.5,48,5
90,51.5,48,7
111,52.5,48,9
101,51.5,48,12
105,51.5,48,13
